race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2023 :: Australian Grand Prix,ALB,27,PIT_NOW,0.0629921259842519,,,57.0,30.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,38,PIT_NOW,0.0629921259842519,,,57.0,19.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,46,PIT_NOW,0.0629921259842519,,,57.0,11.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,48,PIT_NOW,0.0629921259842519,,,57.0,9.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,49,PIT_NOW,0.0629921259842519,,,57.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,50,PIT_NOW,0.0629921259842519,,,57.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,51,PIT_NOW,0.0629921259842519,,,57.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,52,PIT_NOW,0.0629921259842519,,,57.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,53,PIT_NOW,0.0629921259842519,,,57.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,54,PIT_NOW,0.0629921259842519,,,57.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,55,PIT_NOW,0.0629921259842519,57.0,2.0,57.0,2.0,True,1,
2023 :: Australian Grand Prix,ALB,56,PIT_NOW,0.0629921259842519,,,57.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,GAS,18,PIT_NOW,0.0629921259842519,,,21.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,GAS,56,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,GAS,57,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,GAS,58,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,HAM,24,PIT_NOW,0.0629921259842519,,,55.0,31.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,HUL,30,PIT_NOW,0.0629921259842519,,,55.0,25.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,HUL,31,PIT_NOW,0.0629921259842519,,,55.0,24.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,LEC,17,PIT_NOW,0.0629921259842519,,,22.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,LEC,20,PIT_NOW,0.0629921259842519,22.0,2.0,22.0,2.0,True,1,
2023 :: Australian Grand Prix,LEC,21,PIT_NOW,0.0629921259842519,,,22.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,MAG,32,PIT_NOW,0.0629921259842519,,,39.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,MSC,33,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,NOR,18,PIT_NOW,0.0629921259842519,20.0,2.0,20.0,2.0,True,1,
2023 :: Australian Grand Prix,NOR,19,PIT_NOW,0.0629921259842519,,,20.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,NOR,31,PIT_NOW,0.0629921259842519,,,55.0,24.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,NOR,34,PIT_NOW,0.0629921259842519,,,55.0,21.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,PIA,26,PIT_NOW,0.0629921259842519,,,54.0,28.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,PIA,32,PIT_NOW,0.0629921259842519,,,54.0,22.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,PIA,35,PIT_NOW,0.0629921259842519,,,54.0,19.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,16,PIT_NOW,0.0629921259842519,,,21.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,17,PIT_NOW,0.0629921259842519,,,21.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,18,PIT_NOW,0.0629921259842519,,,21.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,19,PIT_NOW,0.0629921259842519,21.0,2.0,21.0,2.0,True,1,
2023 :: Australian Grand Prix,RIC,20,PIT_NOW,0.0629921259842519,,,21.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,37,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,41,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,42,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,43,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,44,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,45,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,46,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,47,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,48,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,49,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,50,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,51,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,52,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,53,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,54,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,55,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,56,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,58,PIT_NOW,0.0629921259842519,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RUS,18,PIT_NOW,0.0629921259842519,,,23.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RUS,20,PIT_NOW,0.0629921259842519,,,23.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RUS,21,PIT_NOW,0.0629921259842519,23.0,2.0,23.0,2.0,True,EXCLUDED,UNRESOLVED_MISSING_POST_GAP
2023 :: Australian Grand Prix,RUS,22,PIT_NOW,0.0629921259842519,,,23.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,SAR,35,PIT_NOW,0.0629921259842519,36.0,1.0,36.0,1.0,True,1,
2023 :: Australian Grand Prix,SAR,51,PIT_NOW,0.0629921259842519,,,54.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,TSU,18,PIT_NOW,0.0629921259842519,18.0,0.0,18.0,0.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
2023 :: Australian Grand Prix,VER,18,PIT_NOW,0.0629921259842519,18.0,0.0,18.0,0.0,True,1,
2023 :: Austrian Grand Prix,ALB,13,PIT_NOW,0.0768421052631578,14.0,1.0,14.0,1.0,True,1,
2023 :: Austrian Grand Prix,ALB,38,PIT_NOW,0.0768421052631578,,,41.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALB,39,PIT_NOW,0.0768421052631578,41.0,2.0,41.0,2.0,True,1,
2023 :: Austrian Grand Prix,ALB,40,PIT_NOW,0.0768421052631578,,,41.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALB,58,PIT_NOW,0.0768421052631578,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALB,66,PIT_NOW,0.0768421052631578,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALB,67,PIT_NOW,0.0768421052631578,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALB,68,PIT_NOW,0.0768421052631578,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALB,69,PIT_NOW,0.0768421052631578,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALB,70,PIT_NOW,0.0768421052631578,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALB,71,PIT_NOW,0.0768421052631578,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALO,31,PIT_NOW,0.0768421052631578,,,44.0,13.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALO,32,PIT_NOW,0.0768421052631578,,,44.0,12.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALO,33,PIT_NOW,0.0768421052631578,,,44.0,11.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALO,34,PIT_NOW,0.0768421052631578,,,44.0,10.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALO,35,PIT_NOW,0.0768421052631578,,,44.0,9.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALO,36,PIT_NOW,0.0768421052631578,,,44.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALO,37,PIT_NOW,0.0768421052631578,,,44.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALO,38,PIT_NOW,0.0768421052631578,,,44.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,ALO,39,PIT_NOW,0.0768421052631578,,,44.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
